airline,arrival,class,currency,departure,points,program,tax,type,unit
3K,KUL,Economy,IDR,CGK,9600,QFF,282900.0,Classic Reward,Points
3K,CGK,Economy,MYR,KUL,9600,QFF,76.0,Classic Reward,Points
AA,JFK,Economy,GBP,LHR,20300,QFF,306.79,Classic Reward,Points
AA,LHR,Economy,USD,JFK,20300,QFF,232.8,Classic Reward,Points
AA,DFW,Economy,CAD,YUL,20300,QFF,113.93,Classic Reward,Points
AA,LAX,Economy,CAD,YVR,20300,QFF,99.94,Classic Reward,Points
AA,MAD,Economy,USD,JFK,20300,QFF,232.8,Classic Reward,Points
AA,DFW,Economy,CAD,YVR,20300,QFF,99.91,Classic Reward,Points
AA,ONT,Economy,CAD,YVR,20300,QFF,99.94,Classic Reward,Points
AA,JFK,Economy,EUR,MAD,20300,QFF,190.66,Classic Reward,Points
AA,BCN,Economy,USD,JFK,25200,QFF,232.8,Classic Reward,Points
AA,LGA,Economy,GBP,LHR,25200,QFF,307.79,Classic Reward,Points
AA,BWI,Economy,GBP,LHR,25200,QFF,307.69,Classic Reward,Points
AA,LHR,Economy,USD,IAD,25200,QFF,232.8,Classic Reward,Points
AA,ORD,Economy,GBP,LHR,25200,QFF,303.29,Classic Reward,Points
AA,LHR,Economy,USD,ORD,25200,QFF,232.8,Classic Reward,Points
AA,LHR,Economy,USD,BWI,25200,QFF,232.8,Classic Reward,Points
AA,DFW,Economy,EUR,DUB,25200,QFF,184.85,Classic Reward,Points
AA,LHR,Economy,USD,EWR,25200,QFF,232.8,Classic Reward,Points
AA,CDG,Economy,USD,JFK,25200,QFF,232.8,Classic Reward,Points
AA,LGA,Economy,EUR,MAD,25200,QFF,195.78,Classic Reward,Points
AA,MAD,Economy,USD,LGA,25200,QFF,232.8,Classic Reward,Points
AA,DUB,Economy,USD,DFW,25200,QFF,232.8,Classic Reward,Points
AA,CDG,Economy,USD,ORD,25200,QFF,232.8,Classic Reward,Points
AA,JFK,Economy,EUR,CDG,25200,QFF,225.8,Classic Reward,Points
AA,EWR,Economy,GBP,LHR,25200,QFF,307.79,Classic Reward,Points
AA,ORD,Economy,EUR,AMS,25200,QFF,236.35,Classic Reward,Points
AA,CDG,Economy,USD,IAD,25200,QFF,232.8,Classic Reward,Points
AA,LGA,Economy,EUR,AMS,25200,QFF,241.96,Classic Reward,Points
AA,CDG,Economy,USD,EWR,25200,QFF,232.8,Classic Reward,Points
AA,AMS,Economy,USD,LGA,25200,QFF,232.8,Classic Reward,Points
AA,FCO,Economy,USD,JFK,25200,QFF,232.8,Classic Reward,Points
AA,JFK,Economy,EUR,FCO,25200,QFF,204.3,Classic Reward,Points
AA,AMS,Economy,USD,ORD,25200,QFF,232.8,Classic Reward,Points
AA,BCN,Economy,USD,LGA,25200,QFF,232.8,Classic Reward,Points
AA,LHR,Economy,USD,DFW,25200,QFF,232.8,Classic Reward,Points
AA,EWR,Economy,EUR,MAD,25200,QFF,195.78,Classic Reward,Points
AA,IAD,Economy,GBP,LHR,25200,QFF,306.69,Classic Reward,Points
AA,DFW,Economy,GBP,LHR,25200,QFF,303.39,Classic Reward,Points
AA,DCA,Economy,EUR,AMS,25200,QFF,236.35,Classic Reward,Points
AA,JFK,Economy,EUR,BCN,25200,QFF,186.85,Classic Reward,Points
AA,DCA,Economy,GBP,LHR,25200,QFF,307.69,Classic Reward,Points
AA,HND,Economy,USD,LAX,31500,QFF,325.8,Classic Reward,Points
AA,LAX,Economy,JPY,HND,31500,QFF,56780.0,Classic Reward,Points
AA,DFW,Economy,EUR,FRA,31500,QFF,279.52,Classic Reward,Points
AA,ORD,Economy,EUR,CDG,31500,QFF,230.93,Classic Reward,Points
AA,LHR,Economy,USD,SFO,31500,QFF,232.8,Classic Reward,Points
AA,SFO,Economy,JPY,HND,31500,QFF,57600.0,Classic Reward,Points
AA,FCO,Economy,USD,LGA,31500,QFF,232.8,Classic Reward,Points
AA,HND,Economy,USD,SFO,31500,QFF,325.8,Classic Reward,Points
AA,EWR,Economy,EUR,CDG,31500,QFF,230.93,Classic Reward,Points
AA,DFW,Economy,EUR,MAD,31500,QFF,195.77,Classic Reward,Points
AA,BWI,Economy,EUR,CDG,31500,QFF,230.93,Classic Reward,Points
AA,SFO,Economy,GBP,LHR,31500,QFF,307.79,Classic Reward,Points
AA,LGA,Economy,EUR,BCN,31500,QFF,191.97,Classic Reward,Points
AA,DFW,Economy,EUR,FCO,31500,QFF,204.3,Classic Reward,Points
AA,LAX,Economy,GBP,LHR,31500,QFF,302.39,Classic Reward,Points
AA,ONT,Economy,GBP,LHR,31500,QFF,306.79,Classic Reward,Points
AA,EWR,Economy,EUR,BCN,31500,QFF,191.97,Classic Reward,Points
AA,CDG,Economy,USD,BWI,31500,QFF,232.8,Classic Reward,Points
AA,DFW,Economy,EUR,CDG,31500,QFF,225.8,Classic Reward,Points
AA,CDG,Economy,USD,LGA,31500,QFF,232.8,Classic Reward,Points
AA,FCO,Economy,USD,EWR,31500,QFF,232.8,Classic Reward,Points
AA,ORD,Economy,EUR,MAD,31500,QFF,195.78,Classic Reward,Points
AA,LHR,Economy,USD,SEA,31500,QFF,232.8,Classic Reward,Points
AA,SFO,Economy,EUR,AMS,37600,QFF,236.34,Classic Reward,Points
AA,MAD,Economy,USD,ONT,37600,QFF,232.8,Classic Reward,Points
AA,AMS,Economy,USD,SFO,37600,QFF,232.8,Classic Reward,Points
AA,ONT,Economy,EUR,BCN,37600,QFF,191.97,Classic Reward,Points
AA,AMS,Economy,USD,IAD,37600,QFF,232.8,Classic Reward,Points
AA,BWI,Economy,EUR,AMS,37600,QFF,241.96,Classic Reward,Points
AA,YVR,Economy,JPY,HND,37600,QFF,54370.0,Classic Reward,Points
AA,LAX,Economy,EUR,CDG,37600,QFF,230.92,Classic Reward,Points
AA,SEA,Economy,GBP,LHR,37600,QFF,306.69,Classic Reward,Points
AA,LAX,Economy,EUR,MAD,37600,QFF,195.77,Classic Reward,Points
AA,CDG,Economy,USD,SEA,37600,QFF,232.8,Classic Reward,Points
AA,LAX,Economy,EUR,AMS,37600,QFF,241.95,Classic Reward,Points
AA,LAX,Economy,EUR,BCN,37600,QFF,191.97,Classic Reward,Points
AA,HND,Economy,USD,DFW,37600,QFF,325.8,Classic Reward,Points
AA,LGA,Economy,EUR,FCO,37600,QFF,209.42,Classic Reward,Points
AA,CDG,Economy,USD,ONT,37600,QFF,232.8,Classic Reward,Points
